ID,Title,Poster,MPAA,imdb,MetaCritic,TotalVotes,MainGenre,SubGenre1,SubGenre2,Runtime
1,Lone Survivor (2013),https://m.media-amazon.com/images/M/MV5BMjA0NTgwOTk5Ml5BMl5BanBnXkFtZTcwMjE3NDc5OQ@@._V1_SX300.jpg,R,7.5,NA,"222,343",Action,Biography,Drama,121 min
2,The Book Thief (2013),https://m.media-amazon.com/images/M/MV5BOTE3NzkyMjAyNF5BMl5BanBnXkFtZTgwMDc5MTE0MDE@._V1_SX300.jpg,PG-13,7.6,NA,"107,88",Drama,War,,131 min
3,Detachment (2011),https://m.media-amazon.com/images/M/MV5BMTM3NzQzMDA5Ml5BMl5BanBnXkFtZTcwODA5NTcyNw@@._V1_SX300.jpg,N/A,7.7,NA,"62,352",Drama,,,
4,Flipped (2010),https://m.media-amazon.com/images/M/MV5BMTU2NjQ1Nzc4MF5BMl5BanBnXkFtZTcwNTM0NDk1Mw@@._V1_SX300.jpg,PG,7.7,NA,"66,461",Comedy,Drama,Romance,
5,Kingsman: The Secret Service (2014),https://m.media-amazon.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_SX300.jpg,R,7.7,NA,"450,5",Action,Adventure,Comedy,129 min
6,About Time (2013),https://m.media-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX300.jpg,R,7.8,NA,"225,412",Comedy,Drama,Fantasy,123 min
7,The Hobbit: An Unexpected Journey (2012),https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,PG-13,7.9,NA,"675,678",Adventure,Fantasy,,169 min
8,Boyhood (2014),https://m.media-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_SX300.jpg,R,7.9,100,"290,327",Drama,,,165 min
9,12 Years a Slave (2013),https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,R,8.1,96,"496,092",Biography,Drama,History,134 min
10,Gravity (2013),https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,PG-13,7.8,96,"630,89",Drama,Sci-Fi,Thriller,91 min
11,Manchester by the Sea (2016),https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,R,7.9,96,"150,266",Drama,,,137 min
12,The Social Network (2010),https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,7.7,95,"516,417",Biography,Drama,,120 min
13,Inside Out (2015),https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,PG,8.2,94,"430,229",Animation,Adventure,Comedy,95 min
14,Amour (2012),https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_SX300.jpg,PG-13,7.9,94,"76,121",Drama,Romance,,127 min
15,Before Midnight (2013),https://m.media-amazon.com/images/M/MV5BMjA5NzgxODE2NF5BMl5BanBnXkFtZTcwNTI1NTI0OQ@@._V1_SX300.jpg,R,7.9,94,"106,553",Drama,Romance,,109 min
16,Spotlight (2015),https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,R,8.1,93,"279,211",Crime,Drama,History,128 min
17,La La Land (2016),https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,PG-13,8.2,93,"290,33",Comedy,Drama,Music,128 min
18,Toy Story 3 (2010),https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,PG,8.3,92,"596,385",Animation,Adventure,Comedy,103 min
19,Her (2013),https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,R,8,90,"398,431",Drama,Romance,Sci-Fi,126 min
20,Mad Max: Fury Road (2015),https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,R,8.1,90,"649,54",Action,Adventure,Sci-Fi,120 min
21,The Artist (2011),https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,PG-13,7.9,89,"201,344",Comedy,Drama,Romance,100 min
22,The King's Speech (2010),https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,R,8,88,"540,24",Biography,Drama,,118 min
23,The Grand Budapest Hotel (2014),https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,R,8.1,88,"541,526",Adventure,Comedy,Drama,99 min
